Age	Temperature	K_Pg
53.7748	-0.61022	0
53.8763	-0.61519	0
53.9835	-0.61986	0
54.1021	-0.62433	0
54.2332	-0.62843	0
54.3861	-0.63211	0
54.4994	-0.63408	0
54.6034	-0.63534	0
54.747	-0.6362	0
54.8547	-0.6362	0
54.9809	-0.63551	0
55.0842	-0.63454	0
55.1853	-0.63349	0
55.3046	-0.63241	0
55.4083	-0.63189	0
55.5202	-0.63208	0
55.6424	-0.63349	0
55.751	-0.63595	0
55.8549	-0.63925	0
55.97	-0.64387	0
56.0878	-0.64948	0
56.2184	-0.65653	0
56.34	-0.6637	0
56.4794	-0.67238	0
56.6044	-0.68037	0
56.7137	-0.68735	0
56.87	-0.69705	0
56.9919	-0.70415	0
57.11	-0.71047	0
57.2304	-0.71619	0
57.38	-0.72225	0
57.5	-0.72626	0
57.6	-0.72901	0
57.7	-0.73121	0
57.8086	-0.73298	0
57.91	-0.73402	0
58.0132	-0.73448	0
58.114	-0.73435	0
58.216	-0.7336	0
58.3529	-0.73162	0
58.49	-0.7285	0
58.6	-0.72517	0
58.7	-0.72149	0
58.81	-0.71677	0
58.95	-0.70986	0
59.0512	-0.70433	0
59.1543	-0.69829	0
59.36	-0.68528	0
59.48	-0.67726	0
59.58	-0.67041	0
59.71	-0.66142	0
59.85	-0.65172	0
59.95	-0.64488	0
60.1808	-0.62968	0
60.4357	-0.61457	0
60.61	-0.60571	0
60.79	-0.59819	0
60.9	-0.59455	0
61	-0.59195	0
61.1	-0.59008	0
61.2	-0.58895	0
61.39	-0.58871	0
61.5	-0.58962	0
61.6404	-0.59182	0
61.9	-0.59856	0
62.0177	-0.60263	0
62.2	-0.60996	0
62.3317	-0.61593	0
62.5	-0.62421	0
62.6	-0.62942	0
62.7	-0.63479	0
63	-0.65149	1
63.1778	-0.66149	1
63.2832	-0.66735	1
63.4015	-0.67379	1
63.535	-0.6808	1
63.66	-0.68706	1
63.97	-0.70075	1
64.17	-0.70779	1
64.3	-0.71144	1
64.4106	-0.71396	1
64.5444	-0.71631	1
64.7	-0.71815	1
64.85	-0.7191	1
65	-0.71929	1
65.1023	-0.71902	1
65.2332	-0.71825	1
65.35	-0.71719	1
65.45	-0.71603	1
65.6	-0.71389	1
65.7555	-0.71123	1
65.87	-0.70903	1
66	-0.70634	1
66.11	-0.70393	0
66.2183	-0.70145	0
66.38	-0.69759	0
66.5	-0.69459	0
66.7	-0.68927	0
66.9	-0.68349	0
67.0073	-0.68018	0
67.15	-0.67552	0
67.26	-0.67171	0
67.38	-0.66733	0
