species,age_min,age_max,Rotated latitude
Palaeopython ceciliensis,41.2,47.8,48.34
Palaeopython ceciliensis,41.2,47.8,48.34
Coluber hungaricus,3.6,5.333,48.37
Coluber hungaricus,3.6,5.333,48.37
Coronella austriaca,3.6,5.333,48.37
Coronella austriaca,3.6,5.333,48.37
Coronella austriaca,3.6,5.333,48.37
Elaphe kormosi,3.6,5.333,48.37
Natrix longivertebrata,3.6,5.333,48.37
Natrix longivertebrata,3.6,5.333,48.37
Natrix longivertebrata,3.6,5.333,48.37
Vipera ammodytes,3.6,5.333,48.37
Vipera ammodytes,3.6,5.333,48.37
Vipera berus,3.6,5.333,48.37
Zamenis praelonguissimus,3.6,5.333,48.37
Zamenis praelonguissimus,3.6,5.333,48.37
Coluber caspioides,15.98,20.44,48.64
Bavarioboa hermi,13.82,15.98,48.66
Coluber caspioides,13.82,15.98,48.66
Coluber caspioides,13.82,15.98,48.66
Coluber hungaricus,13.82,15.98,48.66
Micrurus gallicus,13.82,15.98,48.66
Texasophis meini,13.82,15.98,48.66
Eoanilius oligocenicus,16.9,20,48.75
Naja romani,13.82,15.98,48.90
Zamenis kohfidischi,13.82,15.98,48.90
Coronella austriaca,3.2,4.2,48.92
Elaphe quatuorlineata,3.2,4.2,48.92
Hierophis viridiflavus,3.2,4.2,48.92
Natrix natrix,3.2,4.2,48.92
Coluber suevicus,11.1,12.8,48.95
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Natrix natrix,0.000,0.0117,49.01
Headonophis harrisoni,33.9,37.71,49.05
Paleryx rhombifer,33.9,37.71,49.05
Vectophis wardi,33.9,37.71,49.05
Vectophis wardi,33.9,37.71,49.09
Cadurceryx pearchi,33.9,37.71,49.15
Hordleophis balconae,33.9,37.71,49.15
Palaeopython cadurcensis,33.9,37.71,49.15
Palaeopython cadurcensis,33.9,37.71,49.15
Paleryx rhombifer,33.9,37.71,49.15
Paleryx rhombifer,33.9,37.71,49.15
Paleryx rhombifer,33.9,37.71,49.15
Paleryx rhombifer,33.9,37.71,49.15
Paraplatyspondylia batesi,33.9,37.71,49.15
Paraplatyspondylia batesi,33.9,37.71,49.15
Russellophis tenuis,33.9,37.71,49.15
Totlandophis thomasae,33.9,37.71,49.15
Vectophis wardi,33.9,37.71,49.15
Bavarioboa hermi,15.98,16.9,49.18
Coluber caspioides,15.98,16.9,49.18
Falseryx petersbuchi,15.98,16.9,49.18
Micrurus gallicus,15.98,16.9,49.18
Naja romani,15.98,16.9,49.18
Natrix sansaniensis,15.98,16.9,49.18
Palaeonatrix lehmani,15.98,16.9,49.18
Vipera antiqua,15.98,16.9,49.18
Vipera platyspondyla,15.98,16.9,49.18
Bavarioboa ultima,13.82,15.98,49.19
Coronella austriaca,0.000,2.58,49.20
Natrix natrix,0.000,2.58,49.20
Vipera berus,0.000,2.58,49.20
Zamenis longissimus,0.000,2.58,49.20
Bavarioboa hermi,15.98,20,49.46
Coluber constrictor,0.014,0.21,49.51
Charina prebottae,12.5,16.3,49.82
Lampropeltis similis,12.5,16.3,49.82
Pantherophis kansensis,12.5,16.3,49.82
Paracoluber storeri,12.5,16.3,49.82
Bransateryx vireti,22.4,23.03,49.91
Coluber cadurci,22.4,23.03,49.91
Falseryx petersbuchi,22.4,23.03,49.91
Vipera antiqua,22.4,23.03,49.91
Vipera antiqua,22.4,23.03,49.91
Natrix natrix,0.000,0.0117,50.00
Natrix natrix,0.000,0.0117,50.00
Zamenis longissimus,0.000,0.0117,50.00
Vipera berus,0.000,2.58,50.02
Zamenis longissimus,0.000,2.58,50.02
Eoanilius oligocenicus,23.03,27.82,50.07
Palaeophis toliapicus,47.8,56,50.07
Texasophis hecki,23.03,27.82,50.07
Falseryx neervelpensis,27.82,33.9,50.13
Natrix natrix,0.0117,0.774,50.21
Vipera berus,0.0117,0.774,50.21
Zamenis longissimus,0.0117,0.129,50.21
Coronella austriaca,0.000,2.58,50.24
Vipera berus,0.000,2.58,50.24
Zamenis longissimus,0.000,2.58,50.24
Bavarioboa hermi,15.98,16.9,50.31
Coluber dolnicensis,15.98,16.9,50.31
Falseryx petersbuchi,15.98,16.9,50.31
Neonatrix nova,15.98,16.9,50.31
Palaeonatrix lehmani,15.98,16.9,50.31
Palaeonatrix lehmani,15.98,16.9,50.31
Texasophis bohemiacus,15.98,16.9,50.31
Texasophis bohemiacus,15.98,16.9,50.31
Vipera antiqua,15.98,16.9,50.31
Vipera platyspondyla,15.98,16.9,50.31
Albaneryx volynicus,8.7,11.63,50.35
Naja romani,8.7,11.63,50.35
Vipera berus,8.7,11.63,50.35
Macrovipera ukrainica,8.7,11.63,50.35
Natrix natrix,0.129,0.774,50.48
Rottophis atavus,23.03,27.82,50.49
Rottophis atavus,23.03,27.82,50.49
Rottophis atavus,23.03,27.82,50.49
Rottophis atavus,23.03,27.82,50.49
Rottophis atavus,23.03,27.82,50.49
Vipera berus,0.000,2.58,50.50
Bavarioboa hermi,15.98,20,50.53
Naja romani,15.98,20,50.53
Natrix longivertebrata,15.98,20,50.53
Natrix natrix,0.000,2.58,50.56
Zamenis longissimus,0.000,2.58,50.56
Vipera berus,0.0117,0.129,50.59
Coluber caspioides,15.98,20,50.62
Coluber dolnicensis,15.98,20,50.62
Coluber suevicus,15.98,20,50.62
Natrix merkurensis,15.98,20,50.62
Natrix sansaniensis,15.98,20,50.62
Zamenis longissimus,3.2,4.2,50.84
Natrix natrix,0.0117,0.129,50.86
Vipera berus,0.0117,0.129,50.86
Zamenis longissimus,0.0117,0.129,50.86
Natrix natrix,0.000,2.58,50.87
Coronella austriaca,1.8,2.58,50.91
Natrix natrix,1.8,2.58,50.91
Vipera berus,1.8,2.58,50.91
Zamenis longissimus,1.8,2.58,50.91
Coronella austriaca,0.774,2.58,50.96
Natrix natrix,0.774,2.58,50.96
Vipera berus,0.774,2.58,50.96
Zamenis longissimus,0.774,2.58,50.96
Coronella austriaca,0.774,2.58,51.00
Coronella austriaca,0.774,2.58,51.00
Coronella austriaca,0.774,2.58,51.00
Natrix natrix,0.774,2.58,51.00
Natrix natrix,0.774,2.58,51.00
Natrix natrix,0.774,2.58,51.00
Natrix natrix,0.774,2.58,51.00
Vipera berus,0.774,2.58,51.00
Vipera berus,0.774,2.58,51.00
Zamenis longissimus,0.774,2.58,51.00
Zamenis longissimus,0.774,2.58,51.00
Hierophis viridiflavus,2.58,3.2,51.07
Hierophis viridiflavus,2.58,3.2,51.07
Natrix longivertebrata,2.58,3.2,51.07
Natrix longivertebrata,2.58,3.2,51.07
Vipera ammodytes,2.58,3.2,51.07
Vipera ammodytes,2.58,3.2,51.07
Zamenis longissimus,0.0117,0.129,51.09
Coronella austriaca,0.000,2.58,51.12
Natrix natrix,0.000,2.58,51.12
Vipera berus,0.000,2.58,51.12
Zamenis longissimus,0.000,2.58,51.12
Ogmophis compactus,33.9,37,51.16
Coronella austriaca,3.2,4.9,51.19
Natrix natrix,3.2,4.9,51.19
Vipera berus,3.2,4.9,51.19
Zamenis longissimus,3.2,4.9,51.19
Natrix natrix,0.129,0.774,51.25
Natrix natrix,0.0117,0.129,51.25
Vipera berus,0.129,0.774,51.25
Calamagras weigeli,33.9,37,51.27
Ogmophis compactus,33.9,37,51.27
Natrix natrix,0.774,2.58,51.37
Coronella austriaca,0.129,0.774,51.44
Natrix natrix,0.0117,0.129,51.47
Natrix natrix,0.0117,0.129,51.48
Palaeophis nessovi,33.9,37.71,51.61
Natrix natrix,0.000,2.58,51.68
Natrix natrix,0.000,2.58,51.68
Natrix maura,0.0117,0.129,51.79
Natrix natrix,0.0117,0.129,51.79
Vipera berus,0.0117,0.129,51.79
Zamenis longissimus,0.0117,0.129,51.79
Natrix natrix,0.129,0.774,51.81
Natrix natrix,0.000,2.58,51.83
Zamenis longissimus,0.129,0.774,52.30
Boa blanchardensis,0.0117,0.129,52.38
Natrix maura,0.129,0.774,52.38
Natrix natrix,0.129,0.774,52.38
Vipera berus,0.129,0.774,52.38
Coronella austriaca,0.000,2.58,52.39
Natrix natrix,0.000,2.58,52.39
Vipera berus,0.000,2.58,52.39
Elaphe paralongissima,2.58,4.2,52.42
Natrix longivertebrata,2.58,4.2,52.42
Hierophis viridiflavus,3.2,4.2,52.44
Natrix longivertebrata,3.2,4.2,52.44
Vipera ammodytes,3.2,4.2,52.44
Natrix maura,0.0117,0.129,52.50
Natrix natrix,0.0117,0.129,52.50
Natrix parva,5.333,8.7,52.53
Zelceophis xenos,5.333,8.7,52.53
Natrix natrix,0.000,2.58,52.61
Zamenis longissimus,0.000,2.58,52.61
Zamenis longissimus,0.000,2.58,52.65
Natrix natrix,0.0117,0.129,52.70
Natrix natrix,0.0117,0.129,52.83
Natrix natrix,0.129,0.774,52.94
Vipera berus,0.129,0.774,52.94
Vipera berus,0.129,0.774,52.94
Natrix natrix,0.000,2.58,53.19
Cerberophis robustus,66,72.1,54.35
Vasuki indicus,41.2,47.8,6.58
Nigerophis mirus,56,61.6,7.71
Nigerophis mirus,56,61.6,7.71
Titanoboa cerrejonensis,56,61.6,8.54
Amananulam sanogoi,56,61.6,8.90
Wonambi naracoortensis,0.0117,0.774,9.24
Naja naja,0.0117,0.129,9.27
Simoliophis libycus,93.9,100.5,9.41
Boa constrictor,0.774,3.6,9.83
Gaimanophis powelli,15.98,23.04,-30.465
Coluber hungaricus,16.9,20,
Bitis arietans,0.08,0.130,39.73
Crotalus adamanteus,0.017,0.774,27.4255
Drymarchon corais,0.017,0.774,27.4255
Lampropeltis similis,12,12.5,39.73
Neonatrix elongata,12,12.5,39.73
Neonatrix magna,12,12.5,39.73
Regina alleni,0.017,0.774,27.4255
Farancia abacura,0.017,0.774,27.4255
Pterosphenus muruntau,37.71,41.2,"38,58"
Najash rionegrina,92,94,"-37,77"
Colombophis portai,11.8,13.8,"0,26"
Colombophis spinosus,11.8,13.8,"0,26"
Dinilysia patagonica,83.4,85.9,"-41,26"
Sanajeh indicus,66,72.1,-22.79
